,dt,open,close,high,low,vol,icon_1,icon_2,icon_11,icon_12,icon_13,icon_41,icon_34,icon_35,icon_38,icon_39,jw5,jw30
118,2024-04-03 23:29:00,902.61,902.32,902.62,902.28,40680.0,,,,,,,,,,,,
119,2024-04-03 23:30:00,902.17,901.78,902.17,901.77,50298.0,,,,,,,,,,,,
120,2024-04-03 23:31:00,902.01,902.14,902.43,901.99,41985.0,,,,,,,,,,,,
121,2024-04-03 23:32:00,902.2,901.76,902.28,901.68,40604.0,,,,,,,,,,,,
122,2024-04-03 23:33:00,901.76,901.33,901.87,901.33,76136.0,,,,,,,,,,,,
123,2024-04-03 23:34:00,901.32,901.47,901.47,901.04,53948.0,,,,,,,,,,,,
124,2024-04-03 23:35:00,901.3,900.82,901.3,900.68,76726.0,,,,,,,,,,,,
125,2024-04-03 23:36:00,901.0,900.71,901.0,900.68,49830.0,,,,,,,,,,,,
126,2024-04-03 23:37:00,900.88,901.02,901.31,900.88,36980.0,,,,,,,,,,,,
127,2024-04-03 23:38:00,901.01,901.03,901.17,900.83,58582.0,,,,,,,,,,,,
128,2024-04-03 23:39:00,901.23,900.97,901.23,900.82,21488.0,,,,,,,,,,,,
129,2024-04-03 23:40:00,900.76,900.84,900.98,900.66,22282.0,,,,,,,,,,,,
130,2024-04-03 23:41:00,900.84,900.72,901.07,900.64,27964.0,,,,,,,,,,,,
131,2024-04-03 23:42:00,900.76,900.98,900.98,900.69,40134.0,,,,,,,,,,,,
132,2024-04-03 23:43:00,900.79,901.6,901.84,900.79,103946.0,,,,,,,,,,,,
133,2024-04-03 23:44:00,901.56,901.3,901.56,901.16,41416.0,,,,,,,,,,,,
134,2024-04-03 23:45:00,901.45,901.13,901.45,900.83,44186.0,,,,,,,,,,,,
135,2024-04-03 23:46:00,900.78,899.98,900.78,899.84,112482.0,,,,,,,,,,,,
136,2024-04-03 23:47:00,900.09,900.27,900.39,900.09,57488.0,,,,,,,,,,,,
137,2024-04-03 23:48:00,900.02,899.89,900.02,899.66,61014.0,,,,,,,,,,,,
138,2024-04-03 23:49:00,899.97,899.3,900.09,899.3,63378.0,,,,,,,,,,,,
139,2024-04-03 23:50:00,899.04,899.36,899.59,899.04,86548.0,,,,,,,,,,,,
140,2024-04-03 23:51:00,899.28,898.08,899.28,898.08,104648.0,,,,,,,,,,,,
141,2024-04-03 23:52:00,898.1,897.08,898.1,897.08,162656.0,,,,,,,,,,,,
142,2024-04-03 23:53:00,897.03,897.29,897.29,897.03,91222.0,,,,,,,,,,,,
143,2024-04-03 23:54:00,897.22,897.22,897.53,897.13,67446.0,,,,,,,,,,,,
144,2024-04-03 23:55:00,897.21,896.47,897.21,896.47,96712.0,,,,,,,,,,,,
145,2024-04-03 23:56:00,896.34,895.53,896.34,895.53,132238.0,,,,,,,,,,,,
146,2024-04-03 23:57:00,895.51,895.83,895.9,895.51,70934.0,,,,,,,,,,,,
147,2024-04-03 23:58:00,895.85,896.05,896.43,895.85,97116.0,,,,,,,,,,,,
148,2024-04-03 23:59:00,896.03,895.38,896.03,895.25,73728.0,,,,,,,,,,,,
149,2024-04-04 00:00:00,895.53,895.39,895.66,895.39,50620.0,,,,,,,,,,,,
150,2024-04-04 00:01:00,895.07,894.35,895.15,894.28,127492.0,,,,,,,,,,,,
151,2024-04-04 00:02:00,893.78,894.13,894.13,893.41,146644.0,,,,,,,,,,,,
152,2024-04-04 00:03:00,894.09,893.91,894.09,893.52,73736.0,,,,,,,,,,,,
153,2024-04-04 00:04:00,893.8,893.36,893.85,893.36,71752.0,,,,,,,,,,,,
154,2024-04-04 00:05:00,893.07,892.95,893.21,892.82,114168.0,,,,,,,,,,,,
155,2024-04-04 00:06:00,892.97,893.38,893.47,892.83,85616.0,,,,,,,,,,,,
156,2024-04-04 00:07:00,893.28,893.51,893.51,893.22,85940.0,,,,,,,,,,,,
157,2024-04-04 00:08:00,892.72,892.95,893.22,892.72,105918.0,,,,,,,,,,,,
158,2024-04-04 00:09:00,892.41,892.03,892.53,892.03,115152.0,,,,,,,,,,,,
159,2024-04-04 00:10:00,892.43,892.78,892.78,892.36,105148.0,,,,,,,,,,,,
160,2024-04-04 00:11:00,892.98,893.0,893.2,892.32,145934.0,,,,,,,,,,,,
161,2024-04-04 00:12:00,893.03,893.06,893.32,892.94,98100.0,,,,,,,,,,,,
162,2024-04-04 00:13:00,892.75,892.16,892.75,891.6,123976.0,,,,,,,,,,,,
163,2024-04-04 00:14:00,892.1,891.56,892.58,891.56,108116.0,,,,,,,,,,,,
164,2024-04-04 00:15:00,892.08,893.21,893.21,892.04,101592.0,,,,,,,,,,,,
165,2024-04-04 00:16:00,893.15,892.94,893.15,892.82,87284.0,,,,,,,,,,,,
166,2024-04-04 00:17:00,892.96,893.29,893.39,892.74,83128.0,,,,,,,,,,,,
167,2024-04-04 00:18:00,893.53,893.33,893.53,893.16,109444.0,,,,,,,,,,,,
168,2024-04-04 00:19:00,893.29,893.5,893.5,893.29,59988.0,,,,,,,,,,,,
169,2024-04-04 00:20:00,893.47,894.72,894.72,893.47,156484.0,,,,,,,,,,,,
170,2024-04-04 00:21:00,894.74,895.29,895.48,894.74,178764.0,,,,,,,,,,,,
171,2024-04-04 00:22:00,895.29,894.96,895.35,894.9,104580.0,,,,,,,,,,,,
172,2024-04-04 00:23:00,895.12,895.48,895.64,895.12,65164.0,,,,,,,,,,,,
173,2024-04-04 00:24:00,895.3,895.67,895.67,894.97,72940.0,,,,,,,,,,,,
174,2024-04-04 00:25:00,895.56,895.72,895.95,895.34,66144.0,,,,,,,,,,,,
175,2024-04-04 00:26:00,895.76,895.31,895.76,895.08,68380.0,,,,,,,,,,,,
176,2024-04-04 00:27:00,895.37,895.0,895.37,894.68,70396.0,,,,,,,,,,,,
177,2024-04-04 00:28:00,895.2,896.3,896.3,895.2,130532.0,,,,,,,,,,,,
178,2024-04-04 00:29:00,896.17,896.11,896.19,895.97,54520.0,,,,,,,,,,,,
179,2024-04-04 00:30:00,896.09,896.21,896.33,896.0,63828.0,,,,,,,,,,,,
180,2024-04-04 00:31:00,896.23,895.72,896.26,895.72,68110.0,,,,,,,,,,,,
181,2024-04-04 00:32:00,895.89,896.05,896.5,895.89,61694.0,,,,,,,,,,,,
182,2024-04-04 00:33:00,896.02,896.54,896.7,896.02,52506.0,,,,,,,,,,,,
183,2024-04-04 00:34:00,896.76,897.02,897.36,896.76,120036.0,,,,,,,,,,,,
184,2024-04-04 00:35:00,897.15,897.08,897.15,897.02,42138.0,,,,,,,,,,,,
185,2024-04-04 00:36:00,897.05,897.13,897.46,896.87,72440.0,,,,,,,,,,,,
186,2024-04-04 00:37:00,897.11,896.63,897.11,896.21,79420.0,,,,,,,,,,,,
187,2024-04-04 00:38:00,896.59,895.63,896.59,895.63,74390.0,,,,,,,,,,,,
188,2024-04-04 00:39:00,894.97,893.59,895.03,893.17,176954.0,,,,,,,,,,,,
189,2024-04-04 00:40:00,893.68,893.94,894.42,893.68,86572.0,,,,,,,,,,,,
190,2024-04-04 00:41:00,894.62,896.55,896.59,894.62,166012.0,,,,,,,,,,,,
191,2024-04-04 00:42:00,897.0,898.53,898.78,897.0,186228.0,,,,,,,,,,,,
192,2024-04-04 00:43:00,898.36,897.99,898.36,897.73,72876.0,,,,,,,,,,,,
193,2024-04-04 00:44:00,898.08,898.06,898.33,897.86,77512.0,,,,,,,,,,,,
194,2024-04-04 00:45:00,898.08,897.51,898.35,897.51,49704.0,,,,,,,,,,,,
195,2024-04-04 00:46:00,897.33,897.53,897.92,897.33,39244.0,,,,,,,,,,,,
196,2024-04-04 00:47:00,898.11,897.34,898.11,897.24,67668.0,,,,,,,,,,,,
197,2024-04-04 00:48:00,897.28,897.81,897.81,897.28,56152.0,,,,,,,,,,,,
198,2024-04-04 00:49:00,897.44,897.65,897.73,897.44,25670.0,,,,,,,,,,,,
199,2024-04-04 00:50:00,897.17,897.24,897.56,897.17,40406.0,,,,,,,,,,,,
200,2024-04-04 00:51:00,896.98,897.02,897.21,896.98,56036.0,,,,,,,,,,,,
201,2024-04-04 00:52:00,897.42,897.35,898.18,897.35,66890.0,,,,,,,,,,,,
202,2024-04-04 00:53:00,897.65,898.19,898.2,897.65,74112.0,,,,,,,,,,,,
203,2024-04-04 00:54:00,899.23,899.34,899.69,899.14,135116.0,,,,,,,,,,,,
204,2024-04-04 00:55:00,898.88,898.76,899.09,898.66,48202.0,,,,,,,,,,,,
205,2024-04-04 00:56:00,898.99,898.83,899.24,898.83,61008.0,,,,,,,,,,,,
206,2024-04-04 00:57:00,898.57,898.55,898.7,898.55,49196.0,,,,,,,,,,,,
207,2024-04-04 00:58:00,898.82,898.73,898.82,898.39,51456.0,,,,,,,,,,,,
208,2024-04-04 00:59:00,898.75,898.69,898.88,898.69,38296.0,,,,,,,,,,,,
209,2024-04-04 01:00:00,898.71,897.93,898.71,897.75,66682.0,,,,,,,,,,,,
210,2024-04-04 01:01:00,898.19,898.75,899.09,898.19,83156.0,,,,,,,,,,,,
211,2024-04-04 01:02:00,898.7,898.2,898.7,897.93,58006.0,,,,,,,,,,,,
212,2024-04-04 01:03:00,898.2,897.7,898.28,897.7,46004.0,,,,,,,,,,,,
213,2024-04-04 01:04:00,897.75,898.24,898.4,897.72,37484.0,,,,,,,,,,,,
214,2024-04-04 01:05:00,898.04,897.82,898.28,897.82,31468.0,,,,,,,,,,,,
215,2024-04-04 01:06:00,898.17,898.17,898.51,898.17,32724.0,,,,,,,,,,,,
216,2024-04-04 01:07:00,898.4,898.93,898.93,898.12,49508.0,,,,,,,,,,,,
217,2024-04-04 01:08:00,899.07,898.73,899.07,898.34,76356.0,,,,,,,,,,,,
218,2024-04-04 01:09:00,898.48,898.32,898.66,898.13,37988.0,,,,,,,,,,,,
219,2024-04-04 01:10:00,898.54,898.29,898.65,898.22,35682.0,,,,,,,,,,,,
220,2024-04-04 01:11:00,898.59,898.65,898.93,898.59,56040.0,,,,,,,,,,,,
221,2024-04-04 01:12:00,898.67,898.52,898.75,898.52,30598.0,,,,,,,,,,,,
222,2024-04-04 01:13:00,898.43,898.43,898.75,898.2,31536.0,,,,,,,,,,,,
